sex,year,age,drive_prop
female,1993,17,0.5512820512820513
female,1993,18,0.863013698630137
female,1993,19,0.8461538461538461
female,1993,20,0.7752808988764045
female,1993,21,0.8842105263157894
female,1993,22,0.8522727272727273
female,1993,23,0.9230769230769231
female,1993,24,0.8372093023255814
female,1993,25,0.9595959595959596
female,1993,26,0.9042553191489362
female,1993,27,0.9183673469387755
female,1993,28,0.9153846153846154
female,1993,29,0.9142857142857143
female,1993,30,0.86
female,1993,31,0.8712871287128713
female,1993,32,0.9292035398230089
female,1993,33,0.9484536082474226
female,1993,34,0.92
female,1993,35,0.9302325581395349
female,1993,36,0.9285714285714286
female,1993,37,0.8958333333333334
female,1993,38,0.84
female,1993,39,0.9113924050632911
female,1993,40,0.8734177215189873
female,1993,41,0.9156626506024096
female,1993,42,0.8765432098765432
female,1993,43,0.9166666666666666
female,1993,44,0.9223300970873787
female,1993,45,0.8131868131868132
female,1993,46,0.8673469387755102
female,1993,47,0.8514851485148515
female,1993,48,0.8602150537634409
female,1993,49,0.9027777777777778
female,1993,50,0.8591549295774648
female,1993,51,0.875
female,1993,52,0.8153846153846154
female,1993,53,0.6545454545454545
female,1993,54,0.8032786885245902
female,1993,55,0.8771929824561403
female,1993,56,0.7254901960784313
female,1993,57,0.8043478260869565
female,1993,58,0.7538461538461538
female,1993,59,0.8
female,1993,60,0.717391304347826
female,1993,61,0.75
female,1993,62,0.7884615384615384
female,1993,63,0.8461538461538461
female,1993,64,0.7450980392156863
female,1993,65,0.7321428571428571
female,1993,66,0.8648648648648649
female,1993,67,0.7636363636363637
female,1993,68,0.7777777777777778
female,1993,69,0.75
female,1993,70,0.8032786885245902
female,1993,71,0.6341463414634146
female,1993,72,0.7704918032786885
female,1993,73,0.7377049180327869
female,1993,74,0.7714285714285715
female,1993,75,0.8
female,1993,76,0.7560975609756098
female,1993,77,0.8787878787878788
female,1993,78,0.7692307692307693
female,1993,79,0.9230769230769231
female,1993,80,0.696969696969697
male,1993,17,0.6811594202898551
male,1993,18,0.8295454545454546
male,1993,19,0.8488372093023255
male,1993,20,0.8947368421052632
male,1993,21,0.9487179487179487
male,1993,22,0.9574468085106383
male,1993,23,0.9506172839506173
male,1993,24,0.9333333333333333
male,1993,25,0.9880952380952381
male,1993,26,0.9871794871794872
male,1993,27,0.9887640449438202
male,1993,28,0.9468085106382979
male,1993,29,0.9565217391304348
male,1993,30,0.922077922077922
male,1993,31,0.9893617021276596
male,1993,32,0.9473684210526315
male,1993,33,0.9693877551020408
male,1993,34,0.9880952380952381
male,1993,35,0.9764705882352941
male,1993,36,0.9777777777777777
male,1993,37,0.9733333333333334
male,1993,38,1
male,1993,39,0.9855072463768116
male,1993,40,0.9838709677419355
male,1993,41,0.9529411764705882
male,1993,42,0.9850746268656716
male,1993,43,0.9375
male,1993,44,0.9696969696969697
male,1993,45,0.9868421052631579
male,1993,46,0.981651376146789
male,1993,47,1
male,1993,48,0.9701492537313433
male,1993,49,0.9861111111111112
male,1993,50,0.9692307692307692
male,1993,51,0.9846153846153847
male,1993,52,0.9636363636363636
male,1993,53,0.9795918367346939
male,1993,54,0.9682539682539683
male,1993,55,0.9818181818181818
male,1993,56,0.9767441860465116
male,1993,57,0.9523809523809523
male,1993,58,1
male,1993,59,0.94
male,1993,60,0.9534883720930233
male,1993,61,0.9565217391304348
male,1993,62,0.9795918367346939
male,1993,63,0.9473684210526315
male,1993,64,0.9310344827586207
male,1993,65,1
male,1993,66,0.9545454545454546
male,1993,67,0.9347826086956522
male,1993,68,1
male,1993,69,0.9047619047619048
male,1993,70,0.9591836734693877
male,1993,71,0.8918918918918919
male,1993,72,0.9534883720930233
male,1993,73,0.926829268292683
male,1993,74,0.9354838709677419
male,1993,75,0.9629629629629629
male,1993,76,0.85
male,1993,77,1
male,1993,78,0.9375
male,1993,79,0.7619047619047619
male,1993,80,0.8823529411764706
female,1994,17,0.36486486486486486
female,1994,18,0.6666666666666666
female,1994,19,0.7631578947368421
female,1994,20,0.8375
female,1994,21,0.85
female,1994,22,0.8913043478260869
female,1994,23,0.8936170212765957
female,1994,24,0.8681318681318682
female,1994,25,0.8295454545454546
female,1994,26,0.8602150537634409
female,1994,27,0.8777777777777778
female,1994,28,0.8942307692307693
female,1994,29,0.9504132231404959
female,1994,30,0.9090909090909091
female,1994,31,0.8301886792452831
female,1994,32,0.8415841584158416
female,1994,33,0.9065420560747663
female,1994,34,0.8461538461538461
female,1994,35,0.9375
female,1994,36,0.8777777777777778
female,1994,37,0.9382716049382716
female,1994,38,0.84
female,1994,39,0.8356164383561644
female,1994,40,0.8902439024390244
female,1994,41,0.8591549295774648
female,1994,42,0.8860759493670886
female,1994,43,0.8969072164948454
female,1994,44,0.8837209302325582
female,1994,45,0.851063829787234
female,1994,46,0.8461538461538461
female,1994,47,0.8383838383838383
female,1994,48,0.90625
female,1994,49,0.7938144329896907
female,1994,50,0.810126582278481
female,1994,51,0.7777777777777778
female,1994,52,0.7763157894736842
female,1994,53,0.7741935483870968
female,1994,54,0.71698113207547165
female,1994,55,0.7894736842105263
female,1994,56,0.8518518518518519
female,1994,57,0.5869565217391305
female,1994,58,0.6938775510204082
female,1994,59,0.75
female,1994,60,0.673469387755102
female,1994,61,0.7435897435897436
female,1994,62,0.6285714285714286
female,1994,63,0.6538461538461539
female,1994,64,0.8085106382978723
female,1994,65,0.6326530612244898
female,1994,66,0.7894736842105263
female,1994,67,0.6857142857142857
female,1994,68,0.6428571428571429
female,1994,69,0.625
female,1994,70,0.6833333333333333
female,1994,71,0.5932203389830508
