"18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93"
NA,NA,NA,1,0.941176470588235,0.944444444444444,0.9375,1,1,1,1,1,1,1,1,0.9,0.9375,1,0.916666666666667,1,1,1,1,0.909090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,NA,1,1,1,0.666666666666667,1,1,NA,1,1,1,1,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,0.75,1,1,0.928571428571429,1,0.96969696969697,1,1,1,1,1,1,1,0.941176470588235,1,1,1,1,1,0.9375,1,0.9,0.923076923076923,1,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,NA,1,1,1,0.75,1,1,NA,1,1,1,0.5,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.75,0.875,1,1,0.941176470588235,0.928571428571429,1,1,1,0.928571428571429,1,1,1,1,0.941176470588235,0.944444444444444,1,1,1,1,1,1,1,1,0.916666666666667,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,NA,1,1,1,0.666666666666667,1,1,NA,1,1,1,0.5,NA,0.5,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,0.857142857142857,1,1,1,0.928571428571429,0.941176470588235,1,0.947368421052632,1,0.9,0.95,1,1,0.923076923076923,1,1,0.941176470588235,1,1,1,1,1,1,1,0.923076923076923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,NA,1,1,1,0.75,1,1,NA,1,1,1,0,NA,0,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,0.933333333333333,0.866666666666667,0.846153846153846,0.952380952380952,1,0.888888888888889,1,1,1,1,1,1,1,1,1,1,0.941176470588235,1,1,1,1,1,1,1,0.933333333333333,0.928571428571429,0.909090909090909,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,NA,1,1,1,0.666666666666667,1,1,NA,1,1,1,0,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,1,NA,0.888888888888889,0.928571428571429,0.95,0.888888888888889,0.9375,0.952380952380952,0.909090909090909,0.95,0.956521739130435,1,1,1,1,1,1,0.928571428571429,1,1,1,1,1,1,0.9,1,1,1,1,0.916666666666667,0.909090909090909,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.5,1,1,NA,1,1,1,0.333333333333333,1,1,NA,NA,1,1,1,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,1,0.916666666666667,0.952380952380952,0.95,0.9375,0.884615384615385,0.958333333333333,0.944444444444444,0.947368421052632,0.91304347826087,0.967741935483871,1,1,1,1,1,1,1,1,1,0.947368421052632,1,1,1,1,0.958333333333333,0.923076923076923,1,1,0.95,0.916666666666667,1,1,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.833333333333333,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.75,0.8125,0.833333333333333,0.862068965517241,0.962962962962963,0.928571428571429,0.931034482758621,1,0.954545454545455,0.933333333333333,0.961538461538462,1,0.972222222222222,1,1,1,0.961538461538462,1,0.947368421052632,0.961538461538462,1,0.95,1,0.95,1,1,0.956521739130435,0.928571428571429,1,1,1,0.947368421052632,1,1,1,0.916666666666667,1,1,1,1,1,0.909090909090909,1,1,1,1,0.75,1,1,1,1,1,NA,1,0.75,1,1,1,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
NA,NA,1,0.894736842105263,0.91304347826087,0.92,0.848484848484849,0.925925925925926,0.939393939393939,0.925925925925926,0.958333333333333,1,1,0.966666666666667,0.967741935483871,0.96875,1,1,1,1,1,1,0.935483870967742,1,1,1,0.956521739130435,0.96,1,0.923076923076923,1,1,1,1,0.947368421052632,1,1,0.916666666666667,1,1,1,1,1,0.875,0.928571428571429,1,1,1,1,0.75,1,1,0.75,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,0.666666666666667,NA,1,1,NA,1,NA,NA,NA,NA,NA
NA,NA,0.666666666666667,0.666666666666667,0.826086956521739,0.869565217391304,0.933333333333333,0.962962962962963,1,0.931034482758621,1,1,0.96,1,0.96551724137931,1,0.956521739130435,1,1,1,1,1,1,0.962962962962963,1,1,1,0.956521739130435,0.954545454545455,0.933333333333333,1,0.928571428571429,1,0.888888888888889,0.933333333333333,1,1,1,1,0.933333333333333,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.8,1,1,1,0.8,1,1,1,1,1,NA,1,1,0.5,NA,NA,1,NA,1,NA,NA,NA,NA
NA,NA,NA,0.666666666666667,0.733333333333333,0.91304347826087,0.888888888888889,0.896551724137931,1,1,0.923076923076923,0.954545454545455,1,1,0.928571428571429,1,1,1,1,1,1,0.966666666666667,1,1,1,1,1,1,0.958333333333333,0.958333333333333,0.923076923076923,0.956521739130435,0.875,1,1,0.882352941176471,1,1,0.909090909090909,1,0.933333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.666666666666667,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA
NA,NA,0.666666666666667,0.666666666666667,0.909090909090909,1,0.931034482758621,0.863636363636364,1,0.954545454545455,0.970588235294118,0.961538461538462,1,1,1,0.9375,0.958333333333333,1,1,1,1,1,0.967741935483871,1,1,0.958333333333333,1,0.954545454545455,1,1,0.947368421052632,1,0.958333333333333,0.941176470588235,1,0.928571428571429,1,1,1,0.909090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.666666666666667,0.75,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA
1,NA,NA,0.9,0.692307692307692,0.95,1,0.885714285714286,1,1,0.958333333333333,0.961538461538462,1,0.952380952380952,1,1,0.9375,1,1,1,1,1,1,0.96551724137931,1,1,0.954545454545455,1,0.958333333333333,1,1,0.95,1,1,0.866666666666667,1,0.866666666666667,1,1,1,0.916666666666667,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,NA,1,1,NA,NA,NA,1,NA,1,NA
NA,1,NA,0.923076923076923,0.833333333333333,0.842105263157895,0.894736842105263,0.95,0.90625,1,0.92,1,0.96551724137931,0.923076923076923,1,1,1,1,0.958333333333333,1,1,1,1,1,1,1,0.944444444444444,0.947368421052632,1,1,1,0.91304347826087,1,1,1,0.916666666666667,1,1,1,1,1,0.909090909090909,1,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,0.75,1,NA,1,1,1,NA,NA,NA,NA,1
NA,1,1,1,0.954545454545455,0.888888888888889,0.75,0.944444444444444,0.947368421052632,1,1,0.958333333333333,1,0.96,0.967741935483871,1,1,1,1,0.962962962962963,1,1,1,1,1,1,1,1,0.952380952380952,1,1,1,0.952380952380952,1,1,0.954545454545455,0.9,1,0.933333333333333,1,1,1,0.9,1,0.928571428571429,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.8,NA,1,0.5,1,NA,1,1,1,NA,NA,NA,NA
1,NA,NA,0.923076923076923,1,0.8,0.8125,0.833333333333333,0.947368421052632,1,0.892857142857143,1,0.96,0.96875,0.96551724137931,0.966666666666667,1,1,1,0.933333333333333,1,1,1,1,0.958333333333333,1,1,0.944444444444444,1,1,1,1,1,1,1,1,1,0.8,1,0.9,1,1,1,0.875,1,0.909090909090909,1,1,1,0.9,1,1,1,1,1,1,1,1,0.5,0.666666666666667,1,1,1,1,0.8,NA,1,0.5,1,NA,NA,1,NA,NA,NA,NA
