"17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95"
NA,NA,NA,0.5,0.714285714285714,0.846153846153846,0.909090909090909,1,0.9375,1,0.866666666666667,1,1,0.928571428571429,0.923076923076923,1,0.888888888888889,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,NA,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.666666666666667,0.833333333333333,1,1,0.875,0.866666666666667,1,0.85,1,1,0.882352941176471,1,1,0.916666666666667,0.9375,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,0.833333333333333,1,1,1,NA,NA,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.857142857142857,1,0.875,1,1,1,0.8125,1,0.8,1,1,0.875,0.923076923076923,1,0.916666666666667,0.933333333333333,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,NA,NA,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,0.888888888888889,1,0.944444444444444,0.875,0.95,1,0.866666666666667,0.888888888888889,0.833333333333333,0.916666666666667,1,1,0.928571428571429,1,1,0.916666666666667,0.928571428571429,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,0.75,1,1,1,NA,NA,1,1,1,1,1,1,1,0.75,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,0.846153846153846,0.857142857142857,0.952380952380952,1,1,1,0.8,1,0.8,1,1,0.882352941176471,0.875,0.916666666666667,1,1,0.928571428571429,1,0.909090909090909,0.916666666666667,1,1,1,0.777777777777778,1,1,1,1,1,1,0.75,1,1,1,NA,NA,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.846153846153846,0.9375,0.888888888888889,0.8,0.956521739130435,0.884615384615385,1,1,1,0.869565217391304,1,0.875,1,1,0.9375,0.9375,1,0.916666666666667,1,0.846153846153846,1,1,0.833333333333333,1,0.888888888888889,1,0.888888888888889,1,1,1,1,1,1,0.8,1,1,1,NA,NA,0.8,1,0.75,1,1,1,1,0.333333333333333,1,NA,1,1,1,1,NA,0.5,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,0.909090909090909,0.956521739130435,1,0.88,0.916666666666667,0.911764705882353,0.944444444444444,0.875,1,0.888888888888889,0.954545454545455,0.818181818181818,1,0.96551724137931,1,1,1,0.958333333333333,0.9375,0.961538461538462,0.952380952380952,1,0.95,1,1,1,0.882352941176471,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,0.714285714285714,1,1,1,1,1,1,0.6,1,1,1,1,1,1,NA,1,NA,1,1,0,1,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA
NA,NA,1,0.75,0.933333333333333,0.888888888888889,0.945945945945946,0.962962962962963,1,0.793103448275862,0.96969696969697,0.862068965517241,0.947368421052632,1,0.947368421052632,0.944444444444444,1,0.8,1,1,0.964285714285714,1,1,0.947368421052632,0.95,0.875,1,0.941176470588235,0.909090909090909,1,1,1,0.9375,1,1,1,0.941176470588235,1,1,0.8,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.8,1,NA,1,1,1,1,NA,1,1,NA,1,0.5,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA
NA,NA,NA,0.25,1,0.857142857142857,0.91304347826087,1,0.931034482758621,0.916666666666667,0.846153846153846,0.978260869565217,0.947368421052632,0.90625,0.961538461538462,0.95,0.936170212765957,0.96969696969697,0.958333333333333,1,1,0.972222222222222,1,1,0.9375,1,0.941176470588235,0.95,0.91304347826087,1,1,1,1,0.842105263157895,1,1,1,1,1,1,0.888888888888889,1,0.875,1,0.666666666666667,1,0.571428571428571,0.714285714285714,1,1,1,1,0.5,0.75,1,1,NA,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA
