sex,year,age,mean_ghq
female,1991,15,1
female,1991,16,1.1285714285714286
female,1991,17,1.5970149253731343
female,1991,18,1.9189189189189189
female,1991,19,2.010989010989011
female,1991,20,1.8428571428571427
female,1991,21,2.5568181818181817
female,1991,22,1.8297872340425532
female,1991,23,1.9183673469387754
female,1991,24,2.4651162790697674
female,1991,25,1.4854368932038835
female,1991,26,1.9024390243902438
female,1991,27,1.9019607843137254
female,1991,28,2.4403669724770642
female,1991,29,1.7927927927927927
female,1991,30,2.327731092436975
female,1991,31,1.9814814814814814
female,1991,32,2.2
female,1991,33,1.83
female,1991,34,2.0113636363636362
female,1991,35,1.88
female,1991,36,2.037037037037037
female,1991,37,1.4827586206896552
female,1991,38,1.6375
female,1991,39,1.4631578947368422
female,1991,40,2.219047619047619
female,1991,41,2.2
female,1991,42,2.18018018018018
female,1991,43,2.607843137254902
female,1991,44,1.8956521739130434
female,1991,45,1.7685185185185186
female,1991,46,1.8043478260869565
female,1991,47,2.2
female,1991,48,2.2028985507246377
female,1991,49,1.8352941176470587
female,1991,50,1.3026315789473684
female,1991,51,1.8571428571428572
female,1991,52,2.1194029850746268
female,1991,53,1.8032786885245902
female,1991,54,1.875
female,1991,55,2.3529411764705883
female,1991,56,1.9726027397260273
female,1991,57,1.576271186440678
female,1991,58,1.7291666666666667
female,1991,59,1.4133333333333333
female,1991,60,1.7241379310344827
female,1991,61,1.4666666666666666
female,1991,62,1.4126984126984128
female,1991,63,1.3114754098360655
female,1991,64,1.4523809523809523
female,1991,65,1.2941176470588236
female,1991,66,1.6575342465753424
female,1991,67,1.5774647887323943
female,1991,68,1.4788732394366197
female,1991,69,2.1176470588235294
female,1991,70,2.1343283582089554
female,1991,71,1.547945205479452
female,1991,72,1.9565217391304348
female,1991,73,1.7878787878787878
female,1991,74,1.6875
female,1991,75,2.4615384615384617
female,1991,76,1.9696969696969697
female,1991,77,2.156862745098039
female,1991,78,1.9285714285714286
female,1991,79,1.5142857142857142
female,1991,80,2.3076923076923075
female,1991,81,1.7692307692307692
female,1991,82,2.3181818181818183
female,1991,83,2.7916666666666665
female,1991,84,2.4285714285714284
female,1991,85,2.65
female,1991,86,2.642857142857143
female,1991,87,1
female,1991,88,2.75
female,1991,89,2.625
female,1991,90,2
female,1991,91,1.5
female,1991,92,1
female,1991,93,1
female,1991,96,4.5
female,1992,15,1.6842105263157894
female,1992,16,1.5657894736842106
female,1992,17,1.8656716417910448
female,1992,18,1.8309859154929577
female,1992,19,1.8780487804878048
female,1992,20,2.086021505376344
female,1992,21,2.25974025974026
female,1992,22,2.6288659793814433
female,1992,23,1.9775280898876404
female,1992,24,2.0309278350515463
female,1992,25,2.2555555555555555
female,1992,26,2.1401869158878504
female,1992,27,2.188976377952756
female,1992,28,1.9223300970873787
female,1992,29,2.196261682242991
female,1992,30,2.2242990654205608
female,1992,31,2.5309734513274336
female,1992,32,2.542056074766355
female,1992,33,2.174757281553398
female,1992,34,2.0114942528735633
female,1992,35,2.573170731707317
female,1992,36,2.1944444444444446
female,1992,37,2.6842105263157894
female,1992,38,2.3734939759036147
female,1992,39,2.4743589743589745
female,1992,40,2.023529411764706
female,1992,41,2.515463917525773
female,1992,42,2.2527472527472527
female,1992,43,2.136842105263158
female,1992,44,2.3541666666666665
female,1992,45,2.5904761904761906
female,1992,46,2.080808080808081
female,1992,47,1.9583333333333333
female,1992,48,2.1866666666666665
female,1992,49,2.9411764705882355
female,1992,50,2.1066666666666665
female,1992,51,1.8333333333333333
female,1992,52,1.9830508474576272
female,1992,53,1.671641791044776
female,1992,54,1.9814814814814814
female,1992,55,2.2115384615384617
female,1992,56,2.581818181818182
female,1992,57,1.9538461538461538
female,1992,58,2.1176470588235294
female,1992,59,1.38
female,1992,60,1.044776119402985
female,1992,61,1.1153846153846154
female,1992,62,1.54
female,1992,63,1.1016949152542372
female,1992,64,1.4705882352941178
female,1992,65,1.6222222222222222
female,1992,66,1.087719298245614
female,1992,67,1.8082191780821917
female,1992,68,1.2372881355932204
female,1992,69,2.2058823529411766
female,1992,70,2.108695652173913
