"17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93"
NA,NA,NA,NA,0.5,2.125,1.15384615384615,1.16666666666667,2.42857142857143,0.944444444444444,1.63636363636364,0.846153846153846,2.8,2.1,1.3,1.92307692307692,0.909090909090909,2.23076923076923,3.22222222222222,1,2.44444444444444,3.5,1,4.875,2.25,2.71428571428571,2.45454545454545,1.72727272727273,0.428571428571429,1.57142857142857,3.25,6,1,1.4,0,NA,2.33333333333333,NA,1,4,1,0,0.5,0.333333333333333,0.5,2,0,4,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,1.42857142857143,1.2,2.11764705882353,2.66666666666667,2.9375,2.09090909090909,2.5,2.06666666666667,1.8125,0.625,2.45454545454545,1.125,2.30769230769231,3.30769230769231,2.55555555555556,1.4,1.90909090909091,2.77777777777778,2.08333333333333,5.33333333333333,0.75,1.28571428571429,2.625,4.3,1.2,2,1.25,4.75,1,1.25,0,NA,2.66666666666667,8,1,1.5,3,0.333333333333333,0,4,1.66666666666667,1,0,4,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2.75,1.28571428571429,2,1.72727272727273,2.22222222222222,2.125,1.3,3.26666666666667,1.125,2.76923076923077,2.28571428571429,1.69230769230769,1.11111111111111,3.2,1.125,2.66666666666667,3.18181818181818,1.8,3.71428571428571,1.90909090909091,3.28571428571429,1.36363636363636,2.33333333333333,0.4,0.875,2.3,3.3,0.285714285714286,2.28571428571429,5.25,7.5,1.57142857142857,3.8,0,NA,1,9,3.5,3.5,1,0.666666666666667,0,1.5,0.666666666666667,1,0,2,0,3,NA,5,NA,NA,NA,NA,NA,NA,NA,6,0,4,NA,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,2.22222222222222,1.92857142857143,1.8,1.625,3.33333333333333,1.375,1.15789473684211,2.72727272727273,1.83333333333333,2.88235294117647,1.73333333333333,3.75,2.33333333333333,1.9375,2.33333333333333,3.90909090909091,2.11111111111111,3.57142857142857,2.25,3.6,1.92307692307692,2.16666666666667,1.83333333333333,2.25,3.3,3.25,3,3.85714285714286,3.83333333333333,4.66666666666667,1.66666666666667,3.75,NA,NA,0.5,3,0,2,3,0,3,0.333333333333333,0,2.5,1,1,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,4,0,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.285714285714286,3.38461538461538,3.125,3.23529411764706,1.75,1,2.4375,1.5,1.73333333333333,1.59259259259259,1.41666666666667,2.75,1.66666666666667,0.75,2.91666666666667,1.73333333333333,2.83333333333333,4.18181818181818,1.125,4,2.76923076923077,3.5,1.91666666666667,4.5,1.5,3,2,4.44444444444444,1.14285714285714,3.625,5.6,2.33333333333333,2.75,5,NA,NA,6.5,5,1,0,9,0.666666666666667,0,0,0.333333333333333,3,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,12,0,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,2.33333333333333,3.4,2.22222222222222,1.91666666666667,2.1,4.66666666666667,2.86666666666667,2.44444444444444,2.83333333333333,0.75,2.18181818181818,3.1875,2.21428571428571,0.928571428571429,2.09090909090909,2.66666666666667,1.78571428571429,3.54545454545455,3.81818181818182,3.3,0.375,2.66666666666667,3.11111111111111,1.66666666666667,2.5,4.5,1,2.44444444444444,3.11111111111111,2.5,2.44444444444444,5.25,0.75,4.16666666666667,3.8,NA,NA,5,3.5,2,2,3.5,0,0,2.25,3,NA,7,0,0.5,0,NA,3.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,3,1.5,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,0.6,1.75,2.69230769230769,1.54545454545455,1.76190476190476,2.1,0.4,1.66666666666667,1.52631578947368,2.25,2.2,2.37037037037037,1.53846153846154,3.2,1.25,2.16666666666667,2.66666666666667,1.66666666666667,2.21428571428571,1.72727272727273,2.18181818181818,2,3.66666666666667,1,4.38461538461539,2.22222222222222,5.2,0.444444444444444,4,1.6,2.28571428571429,1.66666666666667,1.66666666666667,6.25,2,6.6,NA,NA,2,3,0.5,2,4,0,1.5,0.333333333333333,1.33333333333333,7,10,0.5,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,1,0.5,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2.38461538461538,1.58823529411765,1.55555555555556,0.866666666666667,2.17391304347826,1.4,2.15789473684211,3.08333333333333,2.2,1.08695652173913,2,1.875,2.33333333333333,1.23076923076923,3.125,2.4375,2.53846153846154,3.61538461538462,1.46153846153846,2.23076923076923,2.8125,2.54545454545455,0.916666666666667,3.66666666666667,5.11111111111111,2,2.33333333333333,4,1.75,2.8,1,1.625,2.11111111111111,2.6,1.66666666666667,5.16666666666667,1.6,NA,NA,1,7,0.25,4.5,3,0.5,0,0.333333333333333,0,NA,8,1,0,4,NA,7,NA,NA,NA,0,NA,NA,NA,NA,3,2,NA,8,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1.84848484848485,1.47826086956522,2.64,1.68,1.97142857142857,1.38235294117647,2.44444444444444,2.1875,2.35294117647059,1.16666666666667,2.38095238095238,1.81818181818182,1.89285714285714,2.10344827586207,1.88888888888889,1.10526315789474,2.5,3.14285714285714,2.3125,1.69230769230769,3,2.375,1.26315789473684,1.90909090909091,1.83333333333333,4.125,2.3125,2.7,1.1,3,2.06666666666667,2,2,3.83333333333333,1.16666666666667,2.75,1.4,0,0.5,3.28571428571429,5.5,2.5,1.33333333333333,3.5,0,2,0.25,1,1,1.5,1,0,0,NA,6.5,NA,0,1,1,0,NA,NA,NA,0,0,NA,9,NA,NA,NA,NA,NA
